NAME,STATE,POPULATION,COUNTY,NAICS_DESC,LEVEL_,TOT_ENROLL,LATITUDE,LONGITUDE
SAINT ELIZABETH SCHOOL OF NURSING,IN,328,TIPPECANOE,OTHER TECHNICAL AND TRADE SCHOOLS,2,281,40.426240273, -86.880809784
ROSS MEDICAL EDUCATION CENTER-FLINT,MI,328,GENESEE,OTHER TECHNICAL AND TRADE SCHOOLS,3,303,43.016571378, -83.749922662
MCI INSTITUTE OF TECHNOLOGY-BOCA RATON,FL,328,PALM BEACH,COMPUTER TRAINING,3,302,26.34886217, -80.087609567
GEORGIA CHRISTIAN UNIVERSITY,GA,329,DEKALB,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,265,33.901514119, -84.144230259
FORTIS COLLEGE-HOUSTON,TX,330,HARRIS,OTHER TECHNICAL AND TRADE SCHOOLS,3,287,29.724299985, -95.493215862
PHILLIPS BETH ISRAEL SCHOOL OF NURSING,NY,330,NEW YORK,JUNIOR COLLEGES,1,278,40.744884126, -73.991085298
WAYNE FINGER LAKES BOCES-PRACTICAL NURSING PROGRAM,NY,330,WAYNE,OTHER TECHNICAL AND TRADE SCHOOLS,3,302,43.038103125, -77.081859492
G SKIN & BEAUTY INSTITUTE,IL,330,DUPAGE,COSMETOLOGY AND BARBER SCHOOLS,3,292,41.851019498, -87.95221419
AUGUSTE ESCOFFIER SCHOOL OF CULINARY ARTS-AUSTIN,TX,330,TRAVIS,FINE ARTS SCHOOLS,3,294,30.326460352, -97.717872399
P&A SCHOLARS BEAUTY SCHOOL,MI,330,WAYNE,COSMETOLOGY AND BARBER SCHOOLS,3,305,42.376091091, -83.157877876
FORTIS COLLEGE-RAVENNA,OH,330,PORTAGE,JUNIOR COLLEGES,2,269,41.180934915, -81.250138614
EMPIRE BEAUTY SCHOOL-MAINE,ME,330,CUMBERLAND,COSMETOLOGY AND BARBER SCHOOLS,3,291,43.667885424, -70.258154405
EVEREST COLLEGE-MESA,AZ,330,MARICOPA,JUNIOR COLLEGES,1,270,33.379938465, -111.714530515
COLLEGE OF BUSINESS AND TECHNOLOGY-HIALEAH,FL,331,MIAMI-DADE,JUNIOR COLLEGES,2,285,25.867003075, -80.302213289
